name,version
1 1/8GB Bluish Black,5033D-2JALUAA
1 5033D 1/16GB Volcano Black,5033D-2LALUAF
105 DS 2019 Pink,16KIGP01A01
105 Dual Sim 2019 Black,16KIGB01A01
105 Dual Sim New Black,A00028315
105 Single Sim 2019 Black,16KIGB01A13
105 Single Sim 2019 Pink,16KIGP01A13
105 Single Sim New Black,A00028356
105 Single Sim New Blue,A00028372
105 Single Sim New White,A00028371
106 New DS Grey,16NEBD01A02
10i 4/128GB Black,51093VQV
10i 4/128GB Blue,51093VQX
110 Dual Sim 2019 Black,16NKLB01A07
110 Dual Sim 2019 Blue,16NKLL01A04
125 Dual Sim Black,16GMNB01A17
150 Dual Sim Cyan,16GMNE01A04
150 Dual Sim Red,16GMNR01A02
1B 5002H Pine Green,5002H-2BALUA12
1B 5002H Prime Black,5002H-2AALUA12
1SE 3/32GB Power Gray,5030D-2AALUA2
1SE 4/128GB Agate Green,5030E-2BALUA2
2003 Dual SIM Dark Gray,2003D-2AALUA1
2003 Dual SIM Metallic Blue,2003D-2BALUA1
2019 Single SIM Metallic Gray,2019G-3AALUA1
2053 Dual SIM Pure White,2053D-2BALUA1
2053 Dual SIM Volcano Black,2053D-2AALUA1
210 Dual SIM 2019 Black,16OTRB01A02
230 Dual Blue,16PCML01A02
230 Dual Dark Silver,A00026971
2720 Flip Black,16BTSB01A10
3T 128GB,Gunmetal
3X 5048Y Black,5048Y-2AALWE12
5310 2020 DualSim Black/Red,16PISXO1A18
7 16GB,Gold
8 4/64GB,Blue
8S 2/32GB Black,51093ULM
Armor 8 4/64GB Black,6937748733744
Armor 9 8/128GB Black,6937748733515
Armor 9E 8/128GB Black,6937748733805
Armor X5 3/32GB Red,6937748733256
Armor X5 Pro 4/64GB Black,6937748733829
B200RX,White
B200RX,Yellow
BL5000 Black,6924351609900
Camon 15 4/64GB Dark Jade,4895180755057
Camon 15 CD7 4/128GB Fascinating Purple,4895180759550
Comfort 50 Shell Duo Red,4827798212325
D855 G3 32GB,Silk White
D858 G3 Dual,Metallic Black
Droid Turbo 2 32GB,Ballistic Nylon Black
E180 2019 Red,680576170057
E240 Power DualSim Black,680576170088
E6S 4/64 GB Meteor Grey,PAJE0031RS
E7 Plus 4/64GB Misty Blue,PAKX0008RS
Edge 5G 6/128GB Dual Black,XT2063-3
FF243,Black
G6 32GB Black,H870S.ACISBK
G6 64GB Black,LGH870DS.ACISBK
G6 64GB Platinum,LGH870DS.ACISPL
G7 4/64GB Ceramic Black,XT1962-6
G7 ThinQ 4/64GB Aurora Black,LMG710EMW.ACISBK
G7 ThinQ 4/64GB Moroccan Blue,LMG710EMW.ACISBL
G8 Power 4/64GB Dual Sim Black,PAHF0007RS
G8 Power Lite 4/64GB Royal Blue,PAJC0017RS
G9 Play 4/64GB Sapphire Blue,PAKK0016RS
G9 Plus 4/128GB Navy Blue,PAKM0019RS
G920F Galaxy S6 32GB,White Pearl
G935FD Galaxy S7 Edge 32GB Gold,SM-G935FZDU
Galaxy A01 2/16GB Black,SM-A015FZKD
Galaxy A01 Core 1/16GB Black,SM-A013FZKD
Galaxy A02s 3/32GB Blue,SM-A025FZBE
Galaxy A10s 2019 SM-A107F 2/32GB Black,SM-A107FZKD
Galaxy A11 2/32GB Black,SM-A115FZKN
Galaxy A12 SM-A125F 3/32GB Black,SM-A125FZKUSEK
Galaxy A12 SM-A125F 4/64GB Black,SM-A125FZKVSEK
Galaxy A20e SM-A202F 3/32GB White,SM-A202FZWD
Galaxy A20s 2019 A207F 3/32GB Black,SM-A207FZKD
Galaxy A21s 3/32GB Black,SM-A217FZKN
Galaxy A30s 3/32GB Black,SM-A307FZKU
Galaxy A30s 4/64GB Green,SM-A307FZGV
Galaxy A31 4/128GB Black,SM-A315FZKV
Galaxy A31 4/64GB Black,SM-A315FZKU
Galaxy A41 4/64GB Black,SM-A415FZKD
Galaxy A50 2019 SM-A505F 4/64GB Blue,SM-A505FZBU
Galaxy A50 2019 SM-A505F 6/128GB Blue,SM-A505FZBQ
Galaxy A51 2020 4/64GB Black,SM-A515FZKU
Galaxy A51 2020 6/128GB Blue,SM-A515FZBW
Galaxy A51 SM-A515F 6/128GB Metallic Silver,SM-A515FMSW
Galaxy A6+ 3/32GB Gold,SM-A605FZDN
Galaxy A7 2018 4/64GB Black,SM-A750FZKU
Galaxy A7 2018 4/64GB Blue,SM-A750FZBU
Galaxy A70 2019 SM-A705F 6/128GB Black,SM-A705FZKU
Galaxy A71 2020 6/128GB Black,SM-A715FZKU
Galaxy A8+ 2018 32GB Gold,SM-A730FZDD
Galaxy A8+ 2018 32GB Orchid Gray,SM-A730FZVD
Galaxy A80 2019 8/128GB Black,SM-A805FZKD
Galaxy A9 2018 6/128Gb Blue,SM-A920FZBD
Galaxy Fold 12/512GB Black,SM-F900FZKD
Galaxy J6 2018 2/32GB Gold,SM-J600FZDD
Galaxy M10 SM-M105F 2/16GB Black,SM-M105GDAG
Galaxy M115 M11 3/32 Black,SM-M115FZKN
Galaxy M21 4/64GB Black,SM-M215FZKU
Galaxy M31 6/128GB Black,SM-M315FZKU
Galaxy M31s 6/128GB Blue,SM-M317FZBN
Galaxy M51 6/128GB Black,SM-M515FZKD
Galaxy Note 10 SM-N9700 8/256GB Black,SM-N9700ZKD
Galaxy Note 10 SM-N970F 8/256GB Black,SM-N970FZKD
Galaxy Note 10+ SM-N975F 12/256GB Black,SM-N975FZKD
Galaxy Note 9 N960 8/512GB Ocean Blue,SM-N960FZBH
Galaxy Note10 Lite SM-N770F Dual 6/128GB Black,SM-N770FZKD
Galaxy Note10 Lite SM-N770F Dual 8/128GB Black,SM-N770FZKU
Galaxy Note20 SM-N980F 8/256GB Mystic Green,SM-N980FZGG
Galaxy Note20 Ultra 5G SM-N986B 12/512GB Mystic Black,SM-N986BZKH
Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze,SM-N985FZNG
Galaxy S10 Lite SM-G770 6/128GB Black,SM-G770FZKG
Galaxy S10 SM-G973 DS 128GB Green,SM-G973FZGD
Galaxy S10+ SM-G975 DS 128GB Black,SM-G975FZKD
Galaxy S10+ SM-G975 DS 1TB Black,SM-G975FCKH
Galaxy S10+ SM-G975 DS 1TB Ceramic White,SM-G975FCWH
Galaxy S10+ SM-G975 DS 512GB Black,SM-G975FCKG
Galaxy S10+ SM-G975 DS 512GB White,SM-G975FCWG
Galaxy S10e SM-G970 DS 128GB Black,SM-G970FZKD
Galaxy S20 FE SM-G780F 6/128GB Blue,SM-G780FZBD
Galaxy S20 FE SM-G780F 8/256GB Blue,SM-G780FZBH
Galaxy S20 SM-G980 8/128GB Grey,SM-G980FZAD
Galaxy S20 Ultra SM-G988 128GB Grey,SM-G988BZAD
Galaxy S20+ LTE SM-G985 Dual 8/128GB Black,SM-G985FZKD
Galaxy S21 8/128GB Phantom Grey,SM-G991BZADSEK
Galaxy S21 8/256GB Phantom Grey,SM-G991BZAGSEK
Galaxy S21 Ultra 12/128GB Phantom Black,SM-G998BZKDSEK
Galaxy S21 Ultra 12/256GB Phantom Black,SM-G998BZKGSEK
Galaxy S21 Ultra 16/512GB Phantom Black,SM-G998BZKHSEK
Galaxy S21+ 8/128GB Phantom Black,SM-G996BZKDSEK
Galaxy S21+ 8/256GB Phantom Black,SM-G996BZKGSEK
Galaxy S8+ 64GB Black,SM-G955FZKD
Galaxy S9 SM-G960 DS 128GB Black,SM-G960FZKG
Galaxy S9 SM-G960 DS 128GB Grey,SM-G960FZAG
Galaxy S9 SM-G960 DS 128GB Purple,SM-G960FZPG
Galaxy S9 SM-G960 DS 64GB Black,SM-G960FZKD
Galaxy S9+ SM-G965 DS 256GB Black,SM-G965FZKH
Galaxy S9+ SM-G965 DS 64GB Black,SM-G965FZKD
Galaxy Z Flip SM-F700 8/256GB Mirror Purple,SM-F700FZPD
Galaxy Z Fold2 12/256GB Mystic Black,SM-F916BZKQ
Grace A1 1281 Dual Sim Red,PFP1281DUORED
H791 Nexus 5X 32GB,Mint
H990 V20 Dual 64GB,Silver
M1 Art,Red
Mate Xs 8/512GB Interstellar blue,51095CSQ
Moto C Plus XT1723 16GB Gold,PA800126UA
Moto E4,XT1762) Metallic Iron Gray
Moto E5 Plus XT1924-1 DualSim Black,PABA0014UA
Moto G5 2/16GB Gold,PA610071UA
Moto G5s,XT1794) Lunar Gray
Moto G5s XT1799 4/64GB Black,PA930008CN
Moto G8 4/64GB Blue,PAHL0004RS
Moto G8 4/64GB White,PAHL0010RS
Moto G8 Plus XT2019-1 4/64GB Dual Sim Cosmic Blue,PAGE0015RS
Moto G9 Power 4/128GB Gray,PALR0020RS
Moto M Grey,PA5D0075UA
Moto X,2nd. Gen)
Moto X4 3/32GB Black,PA8X0004UA
Moto Z 32GB Black,SM4389AE7U1
Moto Z 32GB White/Gold,SM4389AD1U1
Moto Z2 Force 6/64GB Black,PA900007UA
Moto Z2 Play Fine Gold,SM4482AJ1K7
Moto Z2 Play Lunar Grey,SM4482AC3K7
N920C Galaxy Note 5 32GB,Gold Platinum
Nexus 6 32GB,Cloud White
One Fusion+ 6/128GB Blue,PAJW0006RS
P Smart Pro 6/128GB Midnight Black,51094UVB
P Smart S 4/128GB Breathing Crystal,51095HVM
P smart 2019 3/64GB Black,51093FSW
P smart 2021 4/128GB Midnight Black,51096ABV
P smart Z 4/64GB Emerald Green,51093WVK
P smart+ 4/64GB Black,51092TFB
P30 6/128GB Black,51093NDK
P30 Pro 6/128GB Black,51093TFT
P30 Pro 8/256GB Black,51093NFN
P40 8/128GB Black,51095EHY
P40 Pro 8/256GB Silver Frost,51095CAL
P40 lite 6/128GB Crush Green,51095CJX
P40 lite E 4/64GB Midnight Black,51095DCE
POP 2F B1F 1/16GB Midnight Black,4895180746659
POP 3 BB2 1/16GB DS Sandstone Black,4895180751288
POP 4 BC2 2/32GB DS Ice Lake Green,4895180759420
Pixel 128GB,Quite Black
ROG Phone 3 Strix 12/128GB Black,90AI0031-M00010
ROG Phone 3 ZS661KS 12/128GB Black,90AI0032-M00180
Redmi 9 4/128GB Blue,no NFC
Redmi Note 4 3/32GB,Gray
Spark 4 Lite 2/32GB Midnight Black,4895180754593
Spark 6 Go KE5 2/32GB Aqua Blue,4895180762383
Spark 6 Go KE5j 3/64GB Aqua Blue,4895180762918
Spark 6 KE7 4/128GB Comet Black,4895180762079
Spark 6 KE7 4/64GB Ocean Blue,4895180762024
Surface Duo 6GB/256GB,TGM-00001
T301 Black,4895180743320
T372 TripleSIM Black,4895180746833
T454 Champagne Gold,4895180745980
T474 Blue,4895180748004
X Cover 4s G398F,SM-G398FZKD
X-treme PQ54 Black,4827798865712
X60L Matte Black,6924351653118
Xperia XA1 Dual,G3112) Blac
Y5 2019 2/16GB Black,51093SHA
Y5 2019 2/16GB Brown,51093SHE
Y5p 2/32GB Mint Green,51095MUB
Y6 2019 DS Amber Brown,51093PMR
Y6 2019 DS Midnight Black,51093PMP
Y6 Prime 2018 3/32GB Gold,51092MFF
Y6p 3/64GB Midnight Black,51095KYP
Y6s 3/32GB Orhid Blue,51094WBU
Y6s 3/32GB Starry Black,51094WBW
Y7 2019 3/32GB Coral Red,51093HEW
Y7 Prime 2018 3/32GB Black,51092JHA
ZenFone Live ZB501KL Navy Black,ZB501KL-4A053A
Zenfone 5 ZE620KL 4/64GB Blue,ZE620KL-1A012WW
iPhone 11 128GB Black,MWLE2
iPhone 11 128GB Dual Sim Black,MWN72
iPhone 11 128GB Slim Box Black,MHDH3
iPhone 11 256GB Black,MWLL2
iPhone 11 256GB Slim Box Black,MHDP3
iPhone 11 64GB Black,MWLT2
iPhone 11 64GB Dual Sim White,MWN12
iPhone 11 64GB Slim Box Black,MHDA3
iPhone 11 Pro 256GB Dual Sim Midnight Green,MWDH2
iPhone 11 Pro 256GB Midnight Green,MWCQ2
iPhone 11 Pro 512GB Dual Sim Silver,MWDK2
iPhone 11 Pro 512GB Midnight Green,MWCV2
iPhone 11 Pro 64GB Dual Sim Silver,MWDA2
iPhone 11 Pro 64GB Space Gray,MWC22/MWCH2
iPhone 11 Pro Max 256GB Dual Sim Gold,MWF32
iPhone 11 Pro Max 256GB Midnight Green,MWH72
iPhone 11 Pro Max 512GB Dual Sim Silver,MWF62
iPhone 11 Pro Max 512GB Space Gray,MWH82
iPhone 11 Pro Max 64GB Dual Sim Space Gray,MWEV2
iPhone 11 Pro Max 64GB Space Gray,MWGY2; MWHD2
iPhone 12 128GB Black,MGJA3/MGHC3
iPhone 12 128GB Dual Sim Black,MGGU3
iPhone 12 256GB Black,MGJG3/MGHH3
iPhone 12 256GB Dual Sim Black,MGH13
iPhone 12 64GB Blue,MGJ83/MGH93
iPhone 12 64GB Dual Sim,PRODUCT)RED
iPhone 12 Pro 128GB Dual Sim Pacific Blue,MGLD3
iPhone 12 Pro 128GB Pacific Blue,MGMN3/MGLR3
iPhone 12 Pro 256GB Dual Sim Pacific Blue,MGLH3
iPhone 12 Pro 256GB Pacific Blue,MGMT3/MGLW3
iPhone 12 Pro 512GB Dual Sim Pacific Blue,MGLM3
iPhone 12 Pro 512GB Pacific Blue,MGMX3/MGM43
iPhone 12 Pro Max 128GB Dual Sim Graphite,MGC03
iPhone 12 Pro Max 128GB Graphite,MGD73
iPhone 12 Pro Max 256GB Dual Sim Pacific Blue,MGC73
iPhone 12 Pro Max 256GB Pacific Blue,MGDF3
iPhone 12 Pro Max 512GB Dual Sim Pacific Blue,MGCE3
iPhone 12 Pro Max 512GB Pacific Blue,MGDL3
iPhone 12 mini 128GB Black,MGE33
iPhone 12 mini 256GB Black,MGE93
iPhone 12 mini 64GB Black,MGDX3
iPhone 5S 16GB Space Gray,ME432
iPhone 5S 32GB,Space Gray
iPhone 6 16GB Space Gray,MG472
iPhone 6 32GB Space Grey,MQ3D2
iPhone 6 64GB Space Gray,MG4F2
iPhone 6 Plus 64GB Space Gray,MGAH2
iPhone 6s 128GB Space Gray,MKQT2
iPhone 6s 16GB Space Gray,MKQJ2
iPhone 6s 32GB Space Gray,MN0W2
iPhone 6s 64GB Space Gray,MKQN2
iPhone 6s Plus 16GB Space Gray,MKU12
iPhone 6s Plus 32GB Space Gray,MN2V2
iPhone 6s Plus 64GB Space Gray,MKU62
iPhone 7 128GB Jet Black,MN962
iPhone 7 256GB Black,MN972
iPhone 7 32GB Black,MN8X2
iPhone 7 Plus 128GB Black,MN4M2
iPhone 7 Plus 256GB Rose Gold,MN502
iPhone 7 Plus 32GB Black,MNQM2
iPhone 8 128GB Gold,MX182
iPhone 8 256GB Space Gray,MQ7F2
iPhone 8 64GB Space Gray,MQ6G2
iPhone 8 Plus 128GB Gold,MX262
iPhone 8 Plus 256GB Space Gray,MQ8G2
iPhone 8 Plus 64GB Space Gray,MQ8L2
iPhone SE 128GB Space Grey,MP862
iPhone SE 16GB Space Gray,MLLN2
iPhone SE 2020 128GB Black,MXD02/MXCW2
iPhone SE 2020 128GB Slim Box Black,MHGT3
iPhone SE 2020 256GB Black,MXVT2/MXVP2
iPhone SE 2020 256GB Slim Box White,MHGX3
iPhone SE 2020 64GB Black,MX9R2/MX9N2
iPhone SE 2020 64GB Slim Box Black,MHGP3
iPhone SE 32GB Space Grey,MP822
iPhone SE 64GB Space Gray,MLM62
iPhone X 256GB Silver,MQAG2
iPhone X 64GB Space Gray,MQAC2
iPhone XR 128GB Black,MRY92
iPhone XR 128GB Slim Box Black,MH7L3
iPhone XR 256GB Black,MRYJ2
iPhone XR 64GB Black,MRY42
iPhone XR 64GB Slim Box Black,MH6M3
iPhone XR Dual Sim 128GB Black,MT192
iPhone XR Dual Sim 64GB Black,MT122
iPhone XS 256GB Gold,MT9K2
iPhone XS 512GB Silver,MT9M2
iPhone XS 64GB Space Gray,MT9E2
iPhone XS Max 256GB Gold,MT552
iPhone XS Max 512GB Space Gray,MT622
iPhone XS Max 64GB Gold,MT522
iPhone XS Max Dual Sim 64GB Gold,MT732
nova 5T 6/128GB Black,51094MEU
